dzienne_zarazenia,dzienna_smierc,lacznie_1_dawka,lacznie_2_dawka,teraz_zarazeni,ozdrowiency
140639,4039,16580189,16569007,994007,136466
140209,4008,16580189,16569007,993692,136516
139854,4079,16580189,16569007,992980,136487
140029,3992,16580189,16569007,992543,136474
140210,4031,16580189,16569007,992891,135831
140090,4061,16580189,16569007,992499,136421
139772,4111,16580189,16569007,991852,136308
139866,3963,16580189,16569007,991078,136677
140235,4157,16580189,16569007,991101,136055
139698,4120,16580189,16569007,990919,135760
139331,4203,16580189,16569007,990328,135719
140290,4059,16580189,16569007,990433,136126
138813,4083,16580189,16569007,989050,136113
139479,4093,16580189,16569007,988729,135707
139790,4177,16580189,16569007,988615,135727
